gene,genotype,experiment,value,measure
prrx1b,control,1.0,8237.92,SL_um
prrx1b,control,1.0,10101.87,SL_um
prrx1b,control,1.0,7931.21,SL_um
prrx1b,control,1.0,8962.25,SL_um
prrx1b,control,1.0,10986.93,SL_um
prrx1b,control,1.0,10918.26,SL_um
prrx1b,control,1.0,10522.2,SL_um
prrx1b,control,1.0,8989.27,SL_um
prrx1b,control,1.0,11202.52,SL_um
prrx1b,control,1.0,9656.36,SL_um
prrx1b,control,1.0,10615.71,SL_um
prrx1b,control,1.0,10784.14,SL_um
prrx1b,control,1.0,9207.37,SL_um
prrx1b,control,1.0,9045.29,SL_um
prrx1b,control,1.0,10123.3,SL_um
prrx1b,control,1.0,10423.98,SL_um
prrx1b,control,1.0,11543.49,SL_um
prrx1b,control,1.0,9555.71,SL_um
prrx1b,control,1.0,11376.73,SL_um
prrx1b,control,1.0,11659.9,SL_um
prrx1b,control,1.0,8884.87,SL_um
prrx1b,control,1.0,9825.52,SL_um
prrx1b,control,1.0,9787.69,SL_um
prrx1b,control,1.0,10087.69,SL_um
prrx1b,control,1.0,11227.05,SL_um
prrx1b,control,1.0,9753.51,SL_um
prrx1b,control,1.0,10022.24,SL_um
prrx1b,control,1.0,10376.25,SL_um
prrx1b,control,1.0,11107.59,SL_um
prrx1b,mutant,1.0,9987.56,SL_um
prrx1b,mutant,1.0,9987.56,SL_um
prrx1b,mutant,1.0,10146.25,SL_um
prrx1b,mutant,1.0,9825.83,SL_um
prrx1b,mutant,1.0,12150.51,SL_um
prrx1b,mutant,1.0,8661.13,SL_um
prrx1b,mutant,1.0,11736.95,SL_um
prrx1b,mutant,1.0,10389.95,SL_um
prrx1b,mutant,1.0,9607.72,SL_um
prrx1b,mutant,1.0,8022.1,SL_um
prrx1b,mutant,1.0,9823.74,SL_um
prrx1b,mutant,1.0,7833.71,SL_um
prrx1b,mutant,1.0,11384.36,SL_um
prrx1b,mutant,1.0,10221.62,SL_um
prrx1b,mutant,1.0,9579.47,SL_um
prrx1b,mutant,1.0,10256.2,SL_um
prrx1b,mutant,1.0,12283.73,SL_um
prrx1b,mutant,1.0,10255.34,SL_um
prrx1b,mutant,1.0,10255.34,SL_um
prrx1b,mutant,1.0,11810.62,SL_um
prrx1b,mutant,1.0,10387.63,SL_um
prrx1b,mutant,1.0,10603.54,SL_um
prrx1b,mutant,1.0,11181.64,SL_um
prrx1b,mutant,1.0,9610.65,SL_um
prrx1b,mutant,1.0,10599.65,SL_um
prrx1b,mutant,1.0,10122.13,SL_um
prrx1b,mutant,1.0,11806.19,SL_um
prrx1b,mutant,1.0,8713.3,SL_um
prrx1b,mutant,1.0,11449.69,SL_um
prrx1b,mutant,1.0,10822.63,SL_um
prrx1b,mutant,1.0,11705.54,SL_um
foxp1b,mutant,1.0,7821.5,SL_um
foxp1b,mutant,1.0,7007.12,SL_um
foxp1b,mutant,1.0,8770.15,SL_um
foxp1b,mutant,1.0,9286.96,SL_um
foxp1b,mutant,1.0,12121.13,SL_um
foxp1b,mutant,1.0,10982.56,SL_um
foxp1b,mutant,1.0,10454.75,SL_um
foxp1b,mutant,1.0,12688.76,SL_um
foxp1b,mutant,1.0,12242.72,SL_um
foxp1b,mutant,1.0,11099.9,SL_um
foxp1b,mutant,1.0,10593.06,SL_um
foxp1b,mutant,1.0,10596.18,SL_um
foxp1b,mutant,1.0,9329.85,SL_um
foxp1b,mutant,1.0,9287.77,SL_um
foxp1b,mutant,1.0,11133.3,SL_um
foxp1b,mutant,1.0,10303.4,SL_um
foxp1b,mutant,1.0,11218.69,SL_um
foxp1b,mutant,1.0,10207.5,SL_um
foxp1b,mutant,1.0,9102.27,SL_um
foxp1b,mutant,1.0,11786.73,SL_um
foxp1b,mutant,1.0,10864.41,SL_um
foxp1b,mutant,1.0,9112.11,SL_um
foxp1b,mutant,1.0,13578.62,SL_um
foxp1b,mutant,1.0,13504.16,SL_um
foxp1b,mutant,1.0,12206.76,SL_um
foxp1b,control,1.0,8237.92,SL_um
foxp1b,control,1.0,10101.87,SL_um
foxp1b,control,1.0,7931.21,SL_um
foxp1b,control,1.0,8962.25,SL_um
foxp1b,control,1.0,10986.93,SL_um
foxp1b,control,1.0,10918.26,SL_um
foxp1b,control,1.0,10522.2,SL_um
foxp1b,control,1.0,8989.27,SL_um
foxp1b,control,1.0,11202.52,SL_um
foxp1b,control,1.0,9656.36,SL_um
foxp1b,control,1.0,10615.71,SL_um
foxp1b,control,1.0,10784.14,SL_um
foxp1b,control,1.0,9207.37,SL_um
foxp1b,control,1.0,9045.29,SL_um
foxp1b,control,1.0,10123.3,SL_um
foxp1b,control,1.0,10423.98,SL_um
foxp1b,control,1.0,11543.49,SL_um
foxp1b,control,1.0,9555.71,SL_um
foxp1b,control,1.0,11376.73,SL_um
foxp1b,control,1.0,11659.9,SL_um
foxp1b,control,1.0,8884.87,SL_um
foxp1b,control,1.0,9825.52,SL_um
foxp1b,control,1.0,9787.69,SL_um
foxp1b,control,1.0,10087.69,SL_um
foxp1b,control,1.0,11227.05,SL_um
foxp1b,control,1.0,9753.51,SL_um
foxp1b,control,1.0,10022.24,SL_um
foxp1b,control,1.0,10376.25,SL_um
foxp1b,control,1.0,11107.59,SL_um
prrx1b,control,2.0,9974.86,SL_um
prrx1b,control,2.0,9171.02,SL_um
prrx1b,control,2.0,9220.51,SL_um
prrx1b,control,2.0,8676.93,SL_um
prrx1b,control,2.0,8527.88,SL_um
prrx1b,control,2.0,7082.21,SL_um
prrx1b,control,2.0,7844.14,SL_um
prrx1b,control,2.0,15194.48,SL_um
prrx1b,control,2.0,14103.97,SL_um
prrx1b,control,2.0,13188.3,SL_um
prrx1b,control,2.0,11954.79,SL_um
prrx1b,control,2.0,11203.79,SL_um
prrx1b,control,2.0,12103.23,SL_um
prrx1b,control,2.0,11516.59,SL_um
prrx1b,control,2.0,11953.27,SL_um
prrx1b,control,2.0,10771.25,SL_um
prrx1b,control,2.0,10166.24,SL_um
prrx1b,control,2.0,10358.31,SL_um
prrx1b,control,2.0,9446.94,SL_um
prrx1b,control,2.0,9443.41,SL_um
prrx1b,control,2.0,9827.54,SL_um
prrx1b,control,2.0,10710.23,SL_um
prrx1b,control,2.0,9914.23,SL_um
prrx1b,mutant,2.0,7757.17,SL_um
prrx1b,mutant,2.0,7165.66,SL_um
prrx1b,mutant,2.0,10241.89,SL_um
prrx1b,mutant,2.0,8097.22,SL_um
prrx1b,mutant,2.0,12112.42,SL_um
prrx1b,mutant,2.0,9362.11,SL_um
prrx1b,mutant,2.0,12342.68,SL_um
prrx1b,mutant,2.0,9527.77,SL_um
prrx1b,mutant,2.0,12605.71,SL_um
prrx1b,mutant,2.0,12576.75,SL_um
prrx1b,mutant,2.0,13439.51,SL_um
prrx1b,mutant,2.0,10540.25,SL_um
prrx1b,mutant,2.0,11387.05,SL_um
prrx1b,mutant,2.0,10236.34,SL_um
prrx1b,mutant,2.0,13396.9,SL_um
prrx1b,mutant,2.0,11573.58,SL_um
prrx1b,mutant,2.0,11098.78,SL_um
prrx1b,mutant,2.0,11815.75,SL_um
prrx1b,mutant,2.0,11188.31,SL_um
prrx1b,mutant,2.0,11131.58,SL_um
prrx1b,mutant,2.0,11129.88,SL_um
prrx1b,mutant,2.0,9715.57,SL_um
ptenb,control,1.0,8921.63,SL_um
ptenb,control,1.0,8199.04,SL_um
ptenb,control,1.0,9593.34,SL_um
ptenb,control,1.0,12966.22,SL_um
ptenb,control,1.0,14610.4,SL_um
ptenb,control,1.0,9842.88,SL_um
ptenb,control,1.0,12050.77,SL_um
ptenb,control,1.0,11870.68,SL_um
ptenb,control,1.0,10489.03,SL_um
ptenb,control,1.0,9998.89,SL_um
ptenb,control,1.0,10688.35,SL_um
ptenb,control,1.0,10041.47,SL_um
ptenb,control,1.0,12080.81,SL_um
ptenb,control,1.0,10797.54,SL_um
ptenb,mutant,1.0,11999.63,SL_um
ptenb,mutant,1.0,12106.11,SL_um
ptenb,mutant,1.0,12598.53,SL_um
ptenb,mutant,1.0,11720.43,SL_um
ptenb,mutant,1.0,9592.75,SL_um
ptenb,mutant,1.0,9656.18,SL_um
ptenb,mutant,1.0,12968.35,SL_um
ptenb,mutant,1.0,11458.76,SL_um
ptenb,mutant,1.0,10523.48,SL_um
ptenb,mutant,1.0,10369.09,SL_um
ptenb,mutant,1.0,8959.66,SL_um
ptenb,mutant,1.0,7939.17,SL_um
ptenb,mutant,1.0,8233.85,SL_um
ptenb,mutant,1.0,9950.56,SL_um
pid1,control,1.0,8921.63,SL_um
pid1,control,1.0,8199.04,SL_um
pid1,control,1.0,9593.34,SL_um
pid1,control,1.0,12966.22,SL_um
pid1,control,1.0,14610.4,SL_um
pid1,control,1.0,9842.88,SL_um
pid1,control,1.0,12050.77,SL_um
pid1,control,1.0,11870.68,SL_um
pid1,control,1.0,10489.03,SL_um
pid1,control,1.0,9998.89,SL_um
pid1,control,1.0,10688.35,SL_um
pid1,control,1.0,10041.47,SL_um
pid1,control,1.0,12080.81,SL_um
pid1,control,1.0,10797.54,SL_um
pid1,mutant,1.0,9078.14,SL_um
pid1,mutant,1.0,9408.91,SL_um
pid1,mutant,1.0,8866.99,SL_um
pid1,mutant,1.0,10166.53,SL_um
pid1,mutant,1.0,10026.29,SL_um
pid1,mutant,1.0,11282.29,SL_um
pid1,mutant,1.0,12679.91,SL_um
pid1,mutant,1.0,11485.49,SL_um
pid1,mutant,1.0,11680.48,SL_um
pid1,mutant,1.0,11627.16,SL_um
pid1,mutant,1.0,9905.54,SL_um
pid1,mutant,1.0,12460.27,SL_um
cxcl14,control,1.0,8921.63,SL_um
cxcl14,control,1.0,8199.04,SL_um
cxcl14,control,1.0,9593.34,SL_um
cxcl14,control,1.0,12966.22,SL_um
cxcl14,control,1.0,14610.4,SL_um
cxcl14,control,1.0,9842.88,SL_um
cxcl14,control,1.0,12050.77,SL_um
cxcl14,control,1.0,11870.68,SL_um
cxcl14,control,1.0,10489.03,SL_um
cxcl14,control,1.0,9998.89,SL_um
cxcl14,control,1.0,10688.35,SL_um
cxcl14,control,1.0,10041.47,SL_um
cxcl14,control,1.0,12080.81,SL_um
cxcl14,control,1.0,10797.54,SL_um
cxcl14,mutant,1.0,12022.46,SL_um
cxcl14,mutant,1.0,10589.74,SL_um
cxcl14,mutant,1.0,9140.86,SL_um
cxcl14,mutant,1.0,11433.54,SL_um
cxcl14,mutant,1.0,10361.66,SL_um
cxcl14,mutant,1.0,9823.36,SL_um
cxcl14,mutant,1.0,11687.89,SL_um
cxcl14,mutant,1.0,10829.96,SL_um
cxcl14,mutant,1.0,11238.06,SL_um
cxcl14,mutant,1.0,12317.76,SL_um
cxcl14,mutant,1.0,12575.32,SL_um
lrmda,control,1.0,8921.63,SL_um
lrmda,control,1.0,8199.04,SL_um
lrmda,control,1.0,9593.34,SL_um
lrmda,control,1.0,12966.22,SL_um
lrmda,control,1.0,14610.4,SL_um
lrmda,control,1.0,9842.88,SL_um
lrmda,control,1.0,12050.77,SL_um
lrmda,control,1.0,11870.68,SL_um
lrmda,control,1.0,10489.03,SL_um
lrmda,control,1.0,9998.89,SL_um
lrmda,control,1.0,10688.35,SL_um
lrmda,control,1.0,10041.47,SL_um
lrmda,control,1.0,12080.81,SL_um
lrmda,control,1.0,10797.54,SL_um
lrmda,mutant,1.0,10747.79,SL_um
lrmda,mutant,1.0,10241.72,SL_um
lrmda,mutant,1.0,10951.84,SL_um
lrmda,mutant,1.0,9363.68,SL_um
lrmda,mutant,1.0,8989.06,SL_um
lrmda,mutant,1.0,13077.79,SL_um
lrmda,mutant,1.0,12886.01,SL_um
lrmda,mutant,1.0,13439.06,SL_um
lrmda,mutant,1.0,14357.39,SL_um
tmem115,control,1.0,8921.63,SL_um
tmem115,control,1.0,8199.04,SL_um
tmem115,control,1.0,9593.34,SL_um
tmem115,control,1.0,12966.22,SL_um
tmem115,control,1.0,14610.4,SL_um
tmem115,control,1.0,9842.88,SL_um
tmem115,control,1.0,12050.77,SL_um
tmem115,control,1.0,11870.68,SL_um
tmem115,control,1.0,10489.03,SL_um
tmem115,control,1.0,9998.89,SL_um
tmem115,control,1.0,10688.35,SL_um
tmem115,control,1.0,10041.47,SL_um
tmem115,control,1.0,12080.81,SL_um
tmem115,control,1.0,10797.54,SL_um
tmem115,mutant,1.0,8929.31,SL_um
tmem115,mutant,1.0,9511.16,SL_um
tmem115,mutant,1.0,7553.73,SL_um
tmem115,mutant,1.0,9527.02,SL_um
tmem115,mutant,1.0,9228.52,SL_um
tmem115,mutant,1.0,9453.23,SL_um
tmem115,mutant,1.0,10558.09,SL_um
tmem115,mutant,1.0,11224.69,SL_um
tmem115,mutant,1.0,10039.61,SL_um
tmem115,mutant,1.0,10379.21,SL_um
tmem115,mutant,1.0,10204.89,SL_um
tmem115,mutant,1.0,12106.23,SL_um
tmem115,mutant,1.0,11401.04,SL_um
tmem115,mutant,1.0,11423.39,SL_um
tmem115,mutant,1.0,12235.27,SL_um
sparc,control,1.0,7805.72,SL_um
sparc,control,1.0,8409.67,SL_um
sparc,control,1.0,7339.74,SL_um
sparc,control,1.0,9947.06,SL_um
sparc,control,1.0,8661.28,SL_um
sparc,control,1.0,9623.88,SL_um
sparc,control,1.0,11050.89,SL_um
sparc,control,1.0,9676.64,SL_um
sparc,control,1.0,9709.25,SL_um
sparc,control,1.0,10763.94,SL_um
sparc,control,1.0,12536.46,SL_um
sparc,mutant,1.0,8087.11,SL_um
sparc,mutant,1.0,8652.63,SL_um
sparc,mutant,1.0,8496.23,SL_um
sparc,mutant,1.0,9528.5,SL_um
sparc,mutant,1.0,9421.81,SL_um
sparc,mutant,1.0,11859.56,SL_um
sparc,mutant,1.0,9230.27,SL_um
sparc,mutant,1.0,12384.77,SL_um
sparc,mutant,1.0,12029.42,SL_um
sparc,mutant,1.0,11398.92,SL_um
tbx15,control,1.0,7805.72,SL_um
tbx15,control,1.0,8409.67,SL_um
tbx15,control,1.0,7339.74,SL_um
tbx15,control,1.0,9947.06,SL_um
tbx15,control,1.0,8661.28,SL_um
tbx15,control,1.0,9623.88,SL_um
tbx15,control,1.0,11050.89,SL_um
tbx15,control,1.0,9676.64,SL_um
tbx15,control,1.0,9709.25,SL_um
tbx15,control,1.0,10763.94,SL_um
tbx15,control,1.0,12536.46,SL_um
tbx15,mutant,1.0,9501.19,SL_um
tbx15,mutant,1.0,8683.1,SL_um
tbx15,mutant,1.0,9625.16,SL_um
tbx15,mutant,1.0,9810.71,SL_um
tbx15,mutant,1.0,10575.65,SL_um
tbx15,mutant,1.0,11185.39,SL_um
tbx15,mutant,1.0,11174.32,SL_um
tbx15,mutant,1.0,10237.95,SL_um
tbx15,mutant,1.0,12300.51,SL_um
cd81a,control,1.0,7805.72,SL_um
cd81a,control,1.0,8409.67,SL_um
cd81a,control,1.0,7339.74,SL_um
cd81a,control,1.0,9947.06,SL_um
cd81a,control,1.0,8661.28,SL_um
cd81a,control,1.0,9623.88,SL_um
cd81a,control,1.0,11050.89,SL_um
cd81a,control,1.0,9676.64,SL_um
cd81a,control,1.0,9709.25,SL_um
cd81a,control,1.0,10763.94,SL_um
cd81a,control,1.0,12536.46,SL_um
cd81a,mutant,1.0,6465.28,SL_um
cd81a,mutant,1.0,7670.38,SL_um
cd81a,mutant,1.0,8259.35,SL_um
cd81a,mutant,1.0,8509.44,SL_um
cd81a,mutant,1.0,8468.84,SL_um
cd81a,mutant,1.0,10719.73,SL_um
cd81a,mutant,1.0,8975.42,SL_um
cd81a,mutant,1.0,10789.05,SL_um
cd81a,mutant,1.0,9689.48,SL_um
cd81a,mutant,1.0,10765.04,SL_um
cd81a,mutant,1.0,9789.66,SL_um
cd81a,mutant,1.0,11672.39,SL_um
cd81a,mutant,1.0,10375.0,SL_um
sparc,control,2.0,8421.46,SL_um
sparc,control,2.0,7156.17,SL_um
sparc,control,2.0,7730.11,SL_um
sparc,control,2.0,8008.63,SL_um
sparc,control,2.0,9741.48,SL_um
sparc,control,2.0,8677.81,SL_um
sparc,control,2.0,9525.82,SL_um
sparc,control,2.0,10041.33,SL_um
sparc,control,2.0,10463.3,SL_um
sparc,control,2.0,10455.91,SL_um
sparc,control,2.0,10162.78,SL_um
sparc,control,2.0,10302.83,SL_um
sparc,control,2.0,12405.14,SL_um
sparc,mutant,2.0,8378.84,SL_um
sparc,mutant,2.0,7950.81,SL_um
sparc,mutant,2.0,9597.51,SL_um
sparc,mutant,2.0,8861.15,SL_um
sparc,mutant,2.0,9463.93,SL_um
sparc,mutant,2.0,7919.96,SL_um
sparc,mutant,2.0,8146.63,SL_um
sparc,mutant,2.0,8882.4,SL_um
sparc,mutant,2.0,12006.45,SL_um
sparc,mutant,2.0,9800.45,SL_um
sparc,mutant,2.0,10319.68,SL_um
sparc,mutant,2.0,10461.23,SL_um
sparc,mutant,2.0,11072.58,SL_um
tbx15,control,2.0,8421.46,SL_um
tbx15,control,2.0,7156.17,SL_um
tbx15,control,2.0,7730.11,SL_um
tbx15,control,2.0,8008.63,SL_um
tbx15,control,2.0,9741.48,SL_um
tbx15,control,2.0,8677.81,SL_um
tbx15,control,2.0,9525.82,SL_um
tbx15,control,2.0,10041.33,SL_um
tbx15,control,2.0,10463.3,SL_um
tbx15,control,2.0,10455.91,SL_um
tbx15,control,2.0,10162.78,SL_um
tbx15,control,2.0,10302.83,SL_um
tbx15,control,2.0,12405.14,SL_um
tbx15,mutant,2.0,8887.15,SL_um
tbx15,mutant,2.0,8203.52,SL_um
tbx15,mutant,2.0,9751.73,SL_um
tbx15,mutant,2.0,9015.49,SL_um
tbx15,mutant,2.0,8070.55,SL_um
tbx15,mutant,2.0,10788.27,SL_um
tbx15,mutant,2.0,10807.61,SL_um
tbx15,mutant,2.0,11938.33,SL_um
tbx15,mutant,2.0,12858.43,SL_um
cd81a,control,2.0,8421.46,SL_um
cd81a,control,2.0,7156.17,SL_um
cd81a,control,2.0,7730.11,SL_um
cd81a,control,2.0,8008.63,SL_um
cd81a,control,2.0,9741.48,SL_um
cd81a,control,2.0,8677.81,SL_um
cd81a,control,2.0,9525.82,SL_um
cd81a,control,2.0,10041.33,SL_um
cd81a,control,2.0,10463.3,SL_um
cd81a,control,2.0,10455.91,SL_um
cd81a,control,2.0,10162.78,SL_um
cd81a,control,2.0,10302.83,SL_um
cd81a,control,2.0,12405.14,SL_um
cd81a,mutant,2.0,9039.63,SL_um
cd81a,mutant,2.0,8452.31,SL_um
cd81a,mutant,2.0,9123.62,SL_um
cd81a,mutant,2.0,8473.59,SL_um
cd81a,mutant,2.0,9025.96,SL_um
cd81a,mutant,2.0,9280.64,SL_um
cd81a,mutant,2.0,10788.27,SL_um
cd81a,mutant,2.0,9363.51,SL_um
cd81a,mutant,2.0,10325.76,SL_um
cd81a,mutant,2.0,10987.82,SL_um
cd81a,mutant,2.0,9878.99,SL_um
cd81a,mutant,2.0,10287.53,SL_um
cd81a,mutant,2.0,9424.59,SL_um
ptenb,control,2.0,11571.84,SL_um
ptenb,control,2.0,11571.84,SL_um
ptenb,control,2.0,12743.85,SL_um
ptenb,control,2.0,13715.72,SL_um
ptenb,control,2.0,11702.84,SL_um
ptenb,control,2.0,11151.46,SL_um
ptenb,control,2.0,12233.31,SL_um
ptenb,control,2.0,12054.58,SL_um
ptenb,control,2.0,11821.67,SL_um
ptenb,control,2.0,12261.99,SL_um
ptenb,control,2.0,8117.52,SL_um
ptenb,control,2.0,10390.59,SL_um
ptenb,control,2.0,7676.94,SL_um
ptenb,control,2.0,10070.31,SL_um
ptenb,mutant,2.0,11312.32,SL_um
ptenb,mutant,2.0,13172.43,SL_um
ptenb,mutant,2.0,14518.59,SL_um
ptenb,mutant,2.0,11300.48,SL_um
ptenb,mutant,2.0,12330.13,SL_um
ptenb,mutant,2.0,10711.54,SL_um
ptenb,mutant,2.0,12076.32,SL_um
ptenb,mutant,2.0,11163.57,SL_um
ptenb,mutant,2.0,11128.93,SL_um
ptenb,mutant,2.0,11400.4,SL_um
ptenb,mutant,2.0,9122.87,SL_um
ptenb,mutant,2.0,6516.07,SL_um
pid1,control,2.0,11571.84,SL_um
pid1,control,2.0,11571.84,SL_um
pid1,control,2.0,12743.85,SL_um
pid1,control,2.0,13715.72,SL_um
pid1,control,2.0,11702.84,SL_um
pid1,control,2.0,11151.46,SL_um
pid1,control,2.0,12233.31,SL_um
pid1,control,2.0,12054.58,SL_um
pid1,control,2.0,11821.67,SL_um
pid1,control,2.0,12261.99,SL_um
pid1,control,2.0,8117.52,SL_um
pid1,control,2.0,10390.59,SL_um
pid1,control,2.0,7676.94,SL_um
pid1,control,2.0,10070.31,SL_um
pid1,mutant,2.0,11425.52,SL_um
pid1,mutant,2.0,13370.68,SL_um
pid1,mutant,2.0,10674.43,SL_um
pid1,mutant,2.0,11519.81,SL_um
pid1,mutant,2.0,13174.73,SL_um
pid1,mutant,2.0,12121.52,SL_um
pid1,mutant,2.0,10316.67,SL_um
pid1,mutant,2.0,9935.28,SL_um
pid1,mutant,2.0,10878.88,SL_um
pid1,mutant,2.0,9809.66,SL_um
pid1,mutant,2.0,9497.8,SL_um
pid1,mutant,2.0,9086.71,SL_um
pid1,mutant,2.0,8444.72,SL_um
pid1,mutant,2.0,7975.09,SL_um
cxcl14,control,2.0,11571.84,SL_um
cxcl14,control,2.0,11571.84,SL_um
cxcl14,control,2.0,12743.85,SL_um
cxcl14,control,2.0,13715.72,SL_um
cxcl14,control,2.0,11702.84,SL_um
cxcl14,control,2.0,11151.46,SL_um
cxcl14,control,2.0,12233.31,SL_um
cxcl14,control,2.0,12054.58,SL_um
cxcl14,control,2.0,11821.67,SL_um
cxcl14,control,2.0,12261.99,SL_um
cxcl14,control,2.0,8117.52,SL_um
cxcl14,control,2.0,10390.59,SL_um
cxcl14,control,2.0,7676.94,SL_um
cxcl14,control,2.0,10070.31,SL_um
cxcl14,mutant,2.0,8787.45,SL_um
cxcl14,mutant,2.0,9614.83,SL_um
cxcl14,mutant,2.0,9813.43,SL_um
cxcl14,mutant,2.0,11601.98,SL_um
cxcl14,mutant,2.0,8057.04,SL_um
cxcl14,mutant,2.0,7654.44,SL_um
cxcl14,mutant,2.0,12366.5,SL_um
cxcl14,mutant,2.0,9839.0,SL_um
cxcl14,mutant,2.0,12231.24,SL_um
cxcl14,mutant,2.0,9864.81,SL_um
cxcl14,mutant,2.0,12625.59,SL_um
cxcl14,mutant,2.0,10226.32,SL_um
cxcl14,mutant,2.0,11150.23,SL_um
cxcl14,mutant,2.0,11506.98,SL_um
lrmda,control,2.0,11571.84,SL_um
lrmda,control,2.0,11571.84,SL_um
lrmda,control,2.0,12743.85,SL_um
lrmda,control,2.0,13715.72,SL_um
lrmda,control,2.0,11702.84,SL_um
lrmda,control,2.0,11151.46,SL_um
lrmda,control,2.0,12233.31,SL_um
lrmda,control,2.0,12054.58,SL_um
lrmda,control,2.0,11821.67,SL_um
lrmda,control,2.0,12261.99,SL_um
lrmda,control,2.0,8117.52,SL_um
lrmda,control,2.0,10390.59,SL_um
lrmda,control,2.0,7676.94,SL_um
lrmda,control,2.0,10070.31,SL_um
lrmda,mutant,2.0,14914.84,SL_um
lrmda,mutant,2.0,11776.7,SL_um
lrmda,mutant,2.0,12120.72,SL_um
lrmda,mutant,2.0,12607.06,SL_um
lrmda,mutant,2.0,11974.3,SL_um
lrmda,mutant,2.0,11282.29,SL_um
lrmda,mutant,2.0,9997.38,SL_um
lrmda,mutant,2.0,9719.84,SL_um
lrmda,mutant,2.0,8509.19,SL_um
lrmda,mutant,2.0,9071.9,SL_um
lrmda,mutant,2.0,7878.48,SL_um
lrmda,mutant,2.0,8146.52,SL_um
lrmda,mutant,2.0,10495.02,SL_um
tmem115,control,2.0,11571.84,SL_um
tmem115,control,2.0,11571.84,SL_um
tmem115,control,2.0,12743.85,SL_um
tmem115,control,2.0,13715.72,SL_um
tmem115,control,2.0,11702.84,SL_um
tmem115,control,2.0,11151.46,SL_um
tmem115,control,2.0,12233.31,SL_um
tmem115,control,2.0,12054.58,SL_um
tmem115,control,2.0,11821.67,SL_um
tmem115,control,2.0,12261.99,SL_um
tmem115,control,2.0,8117.52,SL_um
tmem115,control,2.0,10390.59,SL_um
tmem115,control,2.0,7676.94,SL_um
tmem115,control,2.0,10070.31,SL_um
tmem115,mutant,2.0,11349.57,SL_um
tmem115,mutant,2.0,11584.31,SL_um
tmem115,mutant,2.0,12892.3,SL_um
tmem115,mutant,2.0,12833.54,SL_um
tmem115,mutant,2.0,11720.05,SL_um
tmem115,mutant,2.0,11884.57,SL_um
tmem115,mutant,2.0,12018.97,SL_um
tmem115,mutant,2.0,10221.62,SL_um
tmem115,mutant,2.0,10185.36,SL_um
tmem115,mutant,2.0,9524.04,SL_um
tmem115,mutant,2.0,10671.73,SL_um
tmem115,mutant,2.0,8638.64,SL_um
tmem115,mutant,2.0,8909.69,SL_um
tmem115,mutant,2.0,9686.66,SL_um
runx1t1,control,1.0,7501.58,SL_um
runx1t1,control,1.0,7733.73,SL_um
runx1t1,control,1.0,7993.73,SL_um
runx1t1,control,1.0,9017.28,SL_um
runx1t1,control,1.0,9966.05,SL_um
runx1t1,control,1.0,8768.97,SL_um
runx1t1,control,1.0,8881.4,SL_um
runx1t1,control,1.0,10096.86,SL_um
runx1t1,control,1.0,9191.26,SL_um
runx1t1,control,1.0,9486.27,SL_um
runx1t1,control,1.0,10190.37,SL_um
runx1t1,control,1.0,11791.88,SL_um
runx1t1,control,1.0,10591.16,SL_um
runx1t1,control,1.0,11246.26,SL_um
runx1t1,mutant,1.0,7637.72,SL_um
runx1t1,mutant,1.0,9019.06,SL_um
runx1t1,mutant,1.0,8152.84,SL_um
runx1t1,mutant,1.0,9242.77,SL_um
runx1t1,mutant,1.0,10790.38,SL_um
runx1t1,mutant,1.0,9891.58,SL_um
runx1t1,mutant,1.0,10316.24,SL_um
runx1t1,mutant,1.0,10683.46,SL_um
runx1t1,mutant,1.0,10092.95,SL_um
runx1t1,mutant,1.0,14533.89,SL_um
cacnb4a,control,1.0,7501.58,SL_um
cacnb4a,control,1.0,7733.73,SL_um
cacnb4a,control,1.0,7993.73,SL_um
cacnb4a,control,1.0,9017.28,SL_um
cacnb4a,control,1.0,9966.05,SL_um
cacnb4a,control,1.0,8768.97,SL_um
cacnb4a,control,1.0,8881.4,SL_um
cacnb4a,control,1.0,10096.86,SL_um
cacnb4a,control,1.0,9191.26,SL_um
cacnb4a,control,1.0,9486.27,SL_um
cacnb4a,control,1.0,10190.37,SL_um
cacnb4a,control,1.0,11791.88,SL_um
cacnb4a,control,1.0,10591.16,SL_um
cacnb4a,control,1.0,11246.26,SL_um
cacnb4a,mutant,1.0,8274.79,SL_um
cacnb4a,mutant,1.0,7830.76,SL_um
cacnb4a,mutant,1.0,8672.43,SL_um
cacnb4a,mutant,1.0,8988.56,SL_um
cacnb4a,mutant,1.0,11122.17,SL_um
cacnb4a,mutant,1.0,10025.8,SL_um
cacnb4a,mutant,1.0,10028.49,SL_um
cacnb4a,mutant,1.0,9760.93,SL_um
cacnb4a,mutant,1.0,8900.49,SL_um
cacnb4a,mutant,1.0,8891.9,SL_um
cacnb4a,mutant,1.0,10817.81,SL_um
cacnb4a,mutant,1.0,10769.63,SL_um
cacnb4a,mutant,1.0,12048.74,SL_um
cacnb4a,mutant,1.0,11454.1,SL_um
sdk1a,control,1.0,7501.58,SL_um
sdk1a,control,1.0,7733.73,SL_um
sdk1a,control,1.0,7993.73,SL_um
sdk1a,control,1.0,9017.28,SL_um
sdk1a,control,1.0,9966.05,SL_um
sdk1a,control,1.0,8768.97,SL_um
sdk1a,control,1.0,8881.4,SL_um
sdk1a,control,1.0,10096.86,SL_um
sdk1a,control,1.0,9191.26,SL_um
sdk1a,control,1.0,9486.27,SL_um
